Filename,Quality,ImageSize,UsedPackets,ExecutionTime
IMAG0889.JPG,100,47130,57965,236,0.23764444200060098
IMAG0889.JPG,95,30412,37396,152,0.13789662900671829
IMAG0889.JPG,90,21410,26331,108,0.11602282999956515
IMAG0889.JPG,85,16806,20668,85,0.10415284599730512
IMAG0889.JPG,80,14137,17387,72,0.09519923500192817
IMAG0889.JPG,75,12222,15032,62,0.09092468999733683
IMAG0889.JPG,70,10989,13513,56,0.08728753700415837
IMAG0889.JPG,65,9932,12213,51,0.08460992699838243
IMAG0889.JPG,60,9092,11182,47,0.0827450559954741
IMAG0889.JPG,55,8381,10305,43,0.08062842200160958
IMAG0889.JPG,50,7823,9619,40,0.08274615900154458
IMAG0889.JPG,45,7277,8947,38,0.07783303399628494
IMAG0889.JPG,40,6650,8175,34,0.07609592499647988
IMAG0889.JPG,35,6068,7461,32,0.07477479600493098
IMAG0889.JPG,30,5355,6583,28,0.07519424500060268
IMAG0889.JPG,25,4631,5699,24,0.07111694299965166
IMAG0889.JPG,20,3775,4645,20,0.06896668700210284
IMAG0889.JPG,15,2875,3537,16,0.0665012259996729
IMAG0889.JPG,10,1920,2362,11,0.06644657700235257
IMAG0889.JPG,5,884,1085,6,0.06133896800020011

IMAG0888.JPG,100,47130,57965,236,0.18155479199776892
IMAG0888.JPG,95,30412,37396,152,0.13669239299633773
IMAG0888.JPG,90,21410,26331,108,0.11394369699701201
IMAG0888.JPG,85,16806,20668,85,0.10558232299808878
IMAG0888.JPG,80,14137,17387,72,0.09727167199889664
IMAG0888.JPG,75,12222,15032,62,0.09127128600084689
IMAG0888.JPG,70,10989,13513,56,0.08745380800246494
IMAG0888.JPG,65,9932,12213,51,0.0846637840004405
IMAG0888.JPG,60,9092,11182,47,0.08261579100508243
IMAG0888.JPG,55,8381,10305,43,0.08054300699586747
IMAG0888.JPG,50,7823,9619,40,0.08068663399899378
IMAG0888.JPG,45,7277,8947,38,0.07796115800010739
IMAG0888.JPG,40,6650,8175,34,0.07617202900291886
IMAG0888.JPG,35,6068,7461,32,0.07458747600321658
IMAG0888.JPG,30,5355,6583,28,0.07586802099831402
IMAG0888.JPG,25,4631,5699,24,0.07118803100456716
IMAG0888.JPG,20,3775,4645,20,0.06874595899716951
IMAG0888.JPG,15,2875,3537,16,0.06887036199623253
IMAG0888.JPG,10,1920,2362,11,0.06641764599771705
IMAG0888.JPG,5,884,1085,6,0.06135126799927093

