time,h,lat,lon,sat,3,7,4,135,131,d
6180,0.000000,0.000000,0.000000,0.000000,45,955,45,86,955,0.00
6492,0.000000,0.000000,0.000000,0.000000,45,955,45,86,955,0.00
6673,0.000000,0.000000,0.000000,0.000000,45,954,43,86,955,0.00
7634,0.000000,0.000000,0.000000,0.000000,44,954,43,85,954,0.00
8764,0.000000,0.000000,0.000000,0.000000,45,955,44,85,955,13.00
10001,0.000000,0.000000,0.000000,0.000000,44,955,43,85,955,0.00
10679,0.000000,0.000000,0.000000,0.000000,45,955,43,87,953,0.00
11672,0.000000,0.000000,0.000000,0.000000,44,953,43,85,956,13.00
12899,0.000000,0.000000,0.000000,0.000000,45,954,43,87,955,0.00
13925,0.000000,0.000000,0.000000,0.000000,43,956,43,85,956,0.00
14737,0.000000,0.000000,0.000000,0.000000,42,958,44,87,955,0.00
16240,0.000000,0.000000,0.000000,0.000000,43,954,43,87,956,3.00
16952,0.000000,0.000000,0.000000,0.000000,44,957,43,88,956,0.00
18048,0.000000,0.000000,0.000000,0.000000,43,957,42,88,957,35.00
19082,0.000000,0.000000,0.000000,0.000000,45,955,42,87,956,5.00
20199,0.000000,0.000000,0.000000,0.000000,44,955,42,89,956,0.00
21075,0.000000,0.000000,0.000000,0.000000,44,954,43,89,955,0.00
22000,0.000000,0.000000,0.000000,0.000000,45,955,43,90,956,0.00
22996,0.000000,0.000000,0.000000,0.000000,42,956,43,89,956,0.00
24184,0.000000,0.000000,0.000000,0.000000,44,955,43,89,955,0.00
25222,0.000000,0.000000,0.000000,0.000000,45,955,43,92,954,0.00
26183,0.000000,0.000000,0.000000,0.000000,44,956,43,91,955,0.00
27349,0.000000,0.000000,0.000000,0.000000,44,955,41,90,956,23.00
28285,0.000000,0.000000,0.000000,0.000000,43,956,42,90,956,0.00
29291,0.000000,0.000000,0.000000,0.000000,44,955,40,91,958,0.00
30393,0.000000,0.000000,0.000000,0.000000,45,955,42,91,955,18.00
31427,0.000000,0.000000,0.000000,0.000000,45,955,43,91,955,1.00
32442,0.000000,0.000000,0.000000,0.000000,46,954,42,92,956,9.00
33570,0.000000,0.000000,0.000000,0.000000,44,956,42,93,955,23.00
34692,0.000000,0.000000,0.000000,0.000000,43,956,42,91,955,3.00
35871,0.000000,0.000000,0.000000,0.000000,44,956,42,90,956,0.00
36768,0.000000,0.000000,0.000000,0.000000,43,957,43,91,956,0.00
37616,0.000000,0.000000,0.000000,0.000000,44,955,43,93,956,0.00
38732,0.000000,0.000000,0.000000,0.000000,45,958,43,92,956,0.00
39917,0.000000,0.000000,0.000000,0.000000,44,955,42,92,955,0.00
40849,0.000000,0.000000,0.000000,0.000000,45,953,43,93,954,0.00
41856,0.000000,0.000000,0.000000,0.000000,44,955,42,91,955,2.00
42770,0.000000,0.000000,0.000000,0.000000,45,957,43,92,957,0.00
43828,0.000000,0.000000,0.000000,0.000000,45,955,43,92,955,0.00
44891,0.000000,0.000000,0.000000,0.000000,44,955,42,92,954,11.00
46048,0.000000,0.000000,0.000000,0.000000,44,955,42,92,954,0.00
47409,0.000000,0.000000,0.000000,0.000000,44,955,43,92,954,24.00
48434,0.000000,0.000000,0.000000,0.000000,46,953,44,93,952,0.00
52007,0.000000,0.000000,0.000000,0.000000,45,954,43,92,956,0.00
53409,0.000000,0.000000,0.000000,0.000000,46,953,43,92,954,0.00
54005,0.000000,0.000000,0.000000,0.000000,44,956,42,92,956,1.00
54702,0.000000,0.000000,0.000000,0.000000,45,955,42,94,955,0.00
55759,0.000000,0.000000,0.000000,0.000000,46,953,43,93,955,7.00
56484,0.000000,0.000000,0.000000,0.000000,45,956,42,92,956,0.00
57055,0.000000,0.000000,0.000000,0.000000,45,954,40,92,956,0.00
57670,0.000000,0.000000,0.000000,0.000000,44,955,42,92,956,15.00
57990,0.000000,0.000000,0.000000,0.000000,43,956,42,92,956,0.00
62393,0.000000,0.000000,0.000000,0.000000,44,956,42,92,955,0.00
64562,0.000000,0.000000,0.000000,0.000000,44,955,44,92,957,0.00
66707,0.000000,0.000000,0.000000,0.000000,45,952,42,92,952,0.00
83541,0.000000,0.000000,0.000000,0.000000,43,956,44,93,956,0.00
83573,0.000000,0.000000,0.000000,0.000000,45,955,43,93,955,9.00
83620,0.000000,0.000000,0.000000,0.000000,44,955,42,93,955,4.00
83645,0.000000,0.000000,0.000000,0.000000,45,955,42,94,954,0.00
94085,0.000000,0.000000,0.000000,0.000000,47,887,44,93,931,495.00
96560,0.000000,0.000000,0.000000,0.000000,44,955,42,93,955,16.00
98059,0.000000,0.000000,0.000000,0.000000,44,955,42,92,955,0.00
101042,0.000000,0.000000,0.000000,0.000000,43,956,43,93,956,0.00
106067,0.000000,0.000000,0.000000,0.000000,44,954,43,93,953,0.00
108460,0.000000,0.000000,0.000000,0.000000,44,954,41,93,956,25.00
109358,0.000000,0.000000,0.000000,0.000000,46,952,44,93,952,7.00
110108,0.000000,0.000000,0.000000,0.000000,44,954,41,92,959,0.00
111038,0.000000,0.000000,0.000000,0.000000,42,959,42,93,957,0.00
113426,0.000000,0.000000,0.000000,0.000000,45,955,42,93,955,0.00
125360,0.000000,0.000000,0.000000,0.000000,46,901,45,93,929,498.00
125432,0.000000,0.000000,0.000000,0.000000,43,955,42,92,955,0.00
125447,0.000000,0.000000,0.000000,0.000000,45,955,42,94,955,0.00
125466,0.000000,0.000000,0.000000,0.000000,45,955,42,95,956,35.00
125482,0.000000,0.000000,0.000000,0.000000,44,956,43,93,955,16.00
125514,0.000000,0.000000,0.000000,0.000000,44,956,44,96,955,3.00
125529,0.000000,0.000000,0.000000,0.000000,44,955,44,96,953,0.00
125545,0.000000,0.000000,0.000000,0.000000,45,953,43,94,958,1.00
125560,0.000000,0.000000,0.000000,0.000000,44,954,42,95,954,0.00
125587,0.000000,0.000000,0.000000,0.000000,47,885,46,96,928,489.00
125602,0.000000,0.000000,0.000000,0.000000,43,955,42,92,956,1.00
125617,0.000000,0.000000,0.000000,0.000000,44,954,43,94,952,0.00
125639,0.000000,0.000000,0.000000,0.000000,44,956,44,95,956,0.00
125656,0.000000,0.000000,0.000000,0.000000,44,957,43,96,955,0.00
127040,0.000000,0.000000,0.000000,0.000000,45,956,44,96,955,20.00
128402,0.000000,0.000000,0.000000,0.000000,44,955,43,96,956,0.00
173049,0.000000,0.000000,0.000000,0.000000,44,956,44,96,955,0.00
175188,0.000000,0.000000,0.000000,0.000000,45,955,44,95,955,0.00
177201,0.000000,0.000000,0.000000,0.000000,44,956,42,95,956,0.00
179925,0.000000,0.000000,0.000000,0.000000,44,955,44,96,954,0.00
182040,0.000000,0.000000,0.000000,0.000000,45,954,43,95,956,12.00
184165,0.000000,0.000000,0.000000,0.000000,45,954,45,95,955,24.00
186373,0.000000,0.000000,0.000000,0.000000,44,957,43,96,956,0.00
191195,0.000000,0.000000,0.000000,0.000000,45,953,44,95,953,19.00
204524,0.000000,0.000000,0.000000,0.000000,45,954,44,95,954,0.00
210491,0.000000,0.000000,0.000000,0.000000,45,953,43,94,954,4.00
215896,0.000000,0.000000,0.000000,0.000000,44,955,44,93,955,0.00
217964,0.000000,0.000000,0.000000,0.000000,44,953,44,96,952,0.00
218003,0.000000,0.000000,0.000000,0.000000,45,953,43,99,955,0.00
218227,0.000000,0.000000,0.000000,0.000000,46,953,44,100,954,0.00
219442,0.000000,0.000000,0.000000,0.000000,47,954,44,101,954,0.00
220036,0.000000,0.000000,0.000000,0.000000,45,954,44,100,955,0.00
220701,0.000000,0.000000,0.000000,0.000000,45,954,44,100,954,1.00
221702,0.000000,0.000000,0.000000,0.000000,46,955,44,100,954,0.00
222429,0.000000,0.000000,0.000000,0.000000,45,954,43,98,956,0.00
223288,0.000000,0.000000,0.000000,0.000000,46,957,44,101,955,0.00
224156,0.000000,0.000000,0.000000,0.000000,47,953,44,99,954,2.00
225134,0.000000,0.000000,0.000000,0.000000,45,957,45,98,957,10.00
229152,0.000000,0.000000,0.000000,0.000000,45,953,46,97,954,0.00
247705,0.000000,0.000000,0.000000,0.000000,45,955,46,98,953,17.00
269050,0.000000,0.000000,0.000000,0.000000,45,957,44,97,957,0.00
272846,0.000000,0.000000,0.000000,0.000000,44,955,45,98,954,0.00
275303,0.000000,0.000000,0.000000,0.000000,45,955,44,97,956,0.00
277375,0.000000,0.000000,0.000000,0.000000,45,956,43,96,956,0.00
279887,0.000000,0.000000,0.000000,0.000000,46,955,45,97,954,0.00
283674,0.000000,0.000000,0.000000,0.000000,45,955,44,98,957,0.00
286860,0.000000,0.000000,0.000000,0.000000,45,956,44,97,955,0.00
290437,0.000000,0.000000,0.000000,0.000000,45,955,44,97,958,0.00
293059,0.000000,0.000000,0.000000,0.000000,47,895,47,97,931,492.00
296764,0.000000,0.000000,0.000000,0.000000,44,956,44,97,956,12.00
299151,0.000000,0.000000,0.000000,0.000000,45,955,43,97,956,0.00
302690,0.000000,0.000000,0.000000,0.000000,44,956,42,98,958,0.00
305987,0.000000,0.000000,0.000000,0.000000,44,958,43,99,956,0.00
307720,0.000000,0.000000,0.000000,0.000000,45,955,44,98,956,0.00
307734,0.000000,0.000000,0.000000,0.000000,44,954,44,98,956,16.00
307762,0.000000,0.000000,0.000000,0.000000,45,955,44,96,957,0.00
307785,0.000000,0.000000,0.000000,0.000000,44,958,44,99,956,0.00
307793,0.000000,0.000000,0.000000,0.000000,44,956,43,97,955,0.00
314253,0.000000,0.000000,0.000000,0.000000,48,896,47,98,930,490.00
318099,0.000000,0.000000,0.000000,0.000000,45,955,43,96,958,0.00
320533,0.000000,0.000000,0.000000,0.000000,44,955,44,97,955,0.00
